# <defaultcodec>utf-8</defaultcodec>
Statistic export
DispY 1 (Average): Displacement Y [mm] , DispY 1 (Maximum): Displacement Y [mm] , DispY 1 (Minimum): Displacement Y [mm] , DispY 1 (Points): Displacement Y , DispY 1 (Sigma): Displacement Y [mm] , DispZ 1 (Average): Displacement Z [mm] , DispZ 1 (Maximum): Displacement Z [mm] , DispZ 1 (Minimum): Displacement Z [mm] , DispZ 1 (Points): Displacement Z , DispZ 1 (Sigma): Displacement Z [mm]
2.91190999e+00 , 2.94604421e+00 , 2.86635876e+00 , 1.00000000e+02 , 1.91590019e-02 , 2.61258519e-01 , 2.85515904e-01 , 2.42437348e-01 , 1.00000000e+02 , 1.09698129e-02
2.96131894e+00 , 2.99323869e+00 , 2.90755320e+00 , 1.00000000e+02 , 1.82009248e-02 , 2.69158882e-01 , 2.98258781e-01 , 2.48256356e-01 , 1.00000000e+02 , 1.12872449e-02
3.00832245e+00 , 3.03890848e+00 , 2.96388316e+00 , 1.00000000e+02 , 1.92484041e-02 , 2.75276302e-01 , 2.95349807e-01 , 2.59959310e-01 , 1.00000000e+02 , 8.49057814e-03
3.06519297e+00 , 3.09977174e+00 , 3.01593900e+00 , 1.00000000e+02 , 2.00754895e-02 , 2.71338180e-01 , 2.95849979e-01 , 2.52104104e-01 , 1.00000000e+02 , 9.65734099e-03
3.09790948e+00 , 3.15124702e+00 , 3.03549767e+00 , 1.00000000e+02 , 2.82221203e-02 , 2.80720219e-01 , 3.05144966e-01 , 2.64621168e-01 , 1.00000000e+02 , 1.04963539e-02
3.13448258e+00 , 3.17920876e+00 , 3.08173132e+00 , 1.00000000e+02 , 2.36614064e-02 , 2.78055557e-01 , 3.02038312e-01 , 2.60185003e-01 , 1.00000000e+02 , 1.03961200e-02
3.14451769e+00 , 3.18366432e+00 , 3.08718467e+00 , 1.00000000e+02 , 2.19837615e-02 , 3.03080142e-01 , 3.28385234e-01 , 2.80944109e-01 , 1.00000000e+02 , 1.08744667e-02
3.19945063e+00 , 3.24021769e+00 , 3.14898539e+00 , 1.00000000e+02 , 2.24734093e-02 , 2.91349687e-01 , 3.13252896e-01 , 2.76183516e-01 , 1.00000000e+02 , 9.64692644e-03
3.23677601e+00 , 3.27646232e+00 , 3.18339896e+00 , 1.00000000e+02 , 2.03286111e-02 , 3.00957101e-01 , 3.24012667e-01 , 2.79755652e-01 , 1.00000000e+02 , 9.23253769e-03
3.26794225e+00 , 3.30513620e+00 , 3.21028566e+00 , 1.00000000e+02 , 2.30264823e-02 , 3.04951534e-01 , 3.31926227e-01 , 2.86655337e-01 , 1.00000000e+02 , 1.04532283e-02
3.30557473e+00 , 3.34078717e+00 , 3.25651073e+00 , 1.00000000e+02 , 2.01770938e-02 , 3.04107503e-01 , 3.23693842e-01 , 2.89429486e-01 , 1.00000000e+02 , 8.39840371e-03
3.31441783e+00 , 3.35444856e+00 , 3.25508356e+00 , 1.00000000e+02 , 2.43265475e-02 , 3.24109269e-01 , 3.49485070e-01 , 3.01700801e-01 , 1.00000000e+02 , 1.14008532e-02
3.35533687e+00 , 3.39889860e+00 , 3.30195475e+00 , 1.00000000e+02 , 2.24729556e-02 , 3.15167605e-01 , 3.37544233e-01 , 2.97193259e-01 , 1.00000000e+02 , 9.22729942e-03
3.39507188e+00 , 3.43098903e+00 , 3.34205294e+00 , 1.00000000e+02 , 2.15658335e-02 , 3.19032881e-01 , 3.42259675e-01 , 3.01089674e-01 , 1.00000000e+02 , 9.49859608e-03
3.42271380e+00 , 3.47006559e+00 , 3.36306834e+00 , 1.00000000e+02 , 2.56939909e-02 , 3.37016188e-01 , 3.61675501e-01 , 3.20660979e-01 , 1.00000000e+02 , 1.09007231e-02
3.44181075e+00 , 3.48481274e+00 , 3.38609195e+00 , 1.00000000e+02 , 2.34385430e-02 , 3.36524460e-01 , 3.58691484e-01 , 3.20982069e-01 , 1.00000000e+02 , 9.73069602e-03
3.47110441e+00 , 3.51457667e+00 , 3.40801692e+00 , 1.00000000e+02 , 2.45421846e-02 , 3.38300647e-01 , 3.61860007e-01 , 3.20415914e-01 , 1.00000000e+02 , 9.71803567e-03
3.48961453e+00 , 3.53437757e+00 , 3.43245625e+00 , 1.00000000e+02 , 2.41123105e-02 , 3.45194604e-01 , 3.68370444e-01 , 3.27367276e-01 , 1.00000000e+02 , 9.78312470e-03
3.50294870e+00 , 3.54474354e+00 , 3.44281578e+00 , 1.00000000e+02 , 2.45471397e-02 , 3.75505264e-01 , 4.00731593e-01 , 3.55128050e-01 , 1.00000000e+02 , 1.07551425e-02
3.56213498e+00 , 3.60807705e+00 , 3.49406123e+00 , 1.00000000e+02 , 2.69717851e-02 , 3.60980278e-01 , 3.84588897e-01 , 3.44621211e-01 , 1.00000000e+02 , 9.59945585e-03
3.56599492e+00 , 3.60221434e+00 , 3.51504660e+00 , 1.00000000e+02 , 2.04571517e-02 , 3.64695193e-01 , 3.85305852e-01 , 3.48346472e-01 , 1.00000000e+02 , 8.77916826e-03
3.58997219e+00 , 3.63424134e+00 , 3.52916837e+00 , 1.00000000e+02 , 2.42924392e-02 , 3.69572076e-01 , 3.91021311e-01 , 3.52478683e-01 , 1.00000000e+02 , 9.43537460e-03
3.60331949e+00 , 3.64587021e+00 , 3.54542422e+00 , 1.00000000e+02 , 2.60380008e-02 , 3.79102180e-01 , 3.99910837e-01 , 3.63636196e-01 , 1.00000000e+02 , 1.01380460e-02
3.62045255e+00 , 3.66772962e+00 , 3.56072617e+00 , 1.00000000e+02 , 2.50694208e-02 , 3.81875105e-01 , 4.04175341e-01 , 3.66721779e-01 , 1.00000000e+02 , 9.49960149e-03
3.64793428e+00 , 3.69147921e+00 , 3.58415413e+00 , 1.00000000e+02 , 2.41710783e-02 , 3.87772331e-01 , 4.11213309e-01 , 3.70286554e-01 , 1.00000000e+02 , 9.40551869e-03
3.67317586e+00 , 3.71638870e+00 , 3.61260748e+00 , 1.00000000e+02 , 2.50924914e-02 , 3.99447058e-01 , 4.22006220e-01 , 3.84580344e-01 , 1.00000000e+02 , 9.61989119e-03
3.69075236e+00 , 3.73174500e+00 , 3.62951231e+00 , 1.00000000e+02 , 2.36300091e-02 , 4.08743303e-01 , 4.30731207e-01 , 3.93371791e-01 , 1.00000000e+02 , 9.31248708e-03
3.73514301e+00 , 3.78307295e+00 , 3.66981673e+00 , 1.00000000e+02 , 2.60465271e-02 , 4.13077162e-01 , 4.35035408e-01 , 3.96456063e-01 , 1.00000000e+02 , 9.25210092e-03
3.72579041e+00 , 3.77195954e+00 , 3.66267395e+00 , 1.00000000e+02 , 2.52483627e-02 , 4.18848073e-01 , 4.41360801e-01 , 4.03177887e-01 , 1.00000000e+02 , 9.18792622e-03
3.74148603e+00 , 3.78872204e+00 , 3.68023658e+00 , 1.00000000e+02 , 2.58346699e-02 , 4.29611389e-01 , 4.51014817e-01 , 4.13708389e-01 , 1.00000000e+02 , 9.41477913e-03
3.76884760e+00 , 3.80929875e+00 , 3.70888424e+00 , 1.00000000e+02 , 2.44337170e-02 , 4.30755913e-01 , 4.51855600e-01 , 4.15850580e-01 , 1.00000000e+02 , 8.74410356e-03
3.75644959e+00 , 3.79939342e+00 , 3.69360781e+00 , 1.00000000e+02 , 2.42355244e-02 , 4.48411728e-01 , 4.72200215e-01 , 4.29968804e-01 , 1.00000000e+02 , 9.38970278e-03
3.76821719e+00 , 3.81686449e+00 , 3.70347619e+00 , 1.00000000e+02 , 2.62298920e-02 , 4.61074191e-01 , 4.84683692e-01 , 4.44425434e-01 , 1.00000000e+02 , 9.46721547e-03
3.80087980e+00 , 3.84646392e+00 , 3.73955321e+00 , 1.00000000e+02 , 2.49940683e-02 , 4.60315391e-01 , 4.82785493e-01 , 4.42815959e-01 , 1.00000000e+02 , 9.44285357e-03
3.77748335e+00 , 3.82741690e+00 , 3.71682715e+00 , 1.00000000e+02 , 2.59163968e-02 , 4.84571438e-01 , 5.06115198e-01 , 4.68297720e-01 , 1.00000000e+02 , 9.53452441e-03
3.85894867e+00 , 3.90470266e+00 , 3.79601884e+00 , 1.00000000e+02 , 2.46949810e-02 , 4.62785575e-01 , 4.83718753e-01 , 4.47887331e-01 , 1.00000000e+02 , 8.77853351e-03
