4.70	0.30
7.45	0.16
9.37	0.09
9.43	0.07
9.26	0.05
9.46	0.03
9.69	0.02
9.84	0.01
9.86	0.01
9.88	0.01
9.85	0.01
9.87	0.01
9.95	0.01
9.93	0.00
9.89	0.00
9.82	0.00
9.83	0.00
10.00	0.00
9.92	0.00
9.88	0.00
9.90	0.00
9.86	0.00
9.85	0.00
9.84	0.00
9.83	0.00
9.85	0.00
9.85	0.00
9.85	0.00
9.84	0.00
9.84	0.00
9.77	0.00
9.76	0.00
9.76	0.00
9.97	0.00
9.99	0.00
9.99	0.00
9.96	0.00
9.96	0.00
9.92	0.00
9.92	0.00
9.93	0.00
10.14	-0.01
10.31	-0.01
10.54	-0.02
10.69	-0.03
11.05	-0.04
11.53	-0.06
11.94	-0.07
12.43	-0.09
13.11	-0.11
13.73	-0.13
14.24	-0.14
14.93	-0.16
15.14	-0.16
15.73	-0.18
16.48	-0.19
17.33	-0.21
18.07	-0.22
18.74	-0.23
19.35	-0.24
19.93	-0.25
20.43	-0.26
20.81	-0.26
21.25	-0.27
21.53	-0.27
22.06	-0.28
22.86	-0.29
23.52	-0.30
24.10	-0.30
24.63	-0.31
25.16	-0.32
25.63	-0.32
26.10	-0.32
26.62	-0.33
27.07	-0.34
27.61	-0.34
28.12	-0.34
28.64	-0.35
29.16	-0.35
29.70	-0.36
30.18	-0.36
30.70	-0.37
31.25	-0.37
31.77	-0.37
32.23	-0.37
32.74	-0.38
33.21	-0.38
33.74	-0.39
34.25	-0.39
34.72	-0.40
35.25	-0.40
35.70	-0.40
36.25	-0.40
36.72	-0.41
37.23	-0.41
37.73	-0.41
38.18	-0.41
38.74	-0.42
39.18	-0.42
39.70	-0.43
40.25	-0.43
40.70	-0.43
41.20	-0.43
41.71	-0.44
42.23	-0.44
42.74	-0.44
43.24	-0.45
43.75	-0.45
44.22	-0.45
44.72	-0.46
45.25	-0.46
45.80	-0.46
46.19	-0.46
46.82	-0.46
47.28	-0.47
47.72	-0.47
48.31	-0.47
48.75	-0.48
49.21	-0.48
49.85	-0.48
50.16	-0.48
50.74	-0.48
51.30	-0.49
51.72	-0.49
52.24	-0.49
52.74	-0.50
53.23	-0.50
53.72	-0.50
54.22	-0.50
54.68	-0.50
55.25	-0.51
55.71	-0.51
56.26	-0.51
56.70	-0.51
57.25	-0.52
57.68	-0.52
58.29	-0.52
58.71	-0.53
59.25	-0.53
59.69	-0.53
60.21	-0.53
60.74	-0.53
61.14	-0.54
61.79	-0.54
62.18	-0.54
62.71	-0.54
63.03	-0.54
63.86	-0.55
63.65	-0.55
65.14	-0.55
64.93	-0.55
66.01	-0.56
65.89	-0.56
66.93	-0.56
66.77	-0.56
68.00	-0.57
68.12	-0.57
68.65	-0.57
69.51	-0.57
69.37	-0.57
70.57	-0.58
70.15	-0.58
71.70	-0.58
71.28	-0.58
72.66	-0.59
72.47	-0.59
73.48	-0.59
73.28	-0.59
74.61	-0.59
74.23	-0.59
75.53	-0.60
75.20	-0.60
76.51	-0.60
76.40	-0.60
77.37	-0.61
77.63	-0.61
78.19	-0.61
78.31	-0.61
79.36	-0.62
79.52	-0.62
80.17	-0.62
80.74	-0.62
81.05	-0.62
81.95	-0.62
81.85	-0.63
83.06	-0.63
82.84	-0.63
84.08	-0.63
83.78	-0.63
85.14	-0.64
84.75	-0.64
86.08	-0.64
85.70	-0.64
87.20	-0.65
86.84	-0.65
88.00	-0.65
88.09	-0.65
88.84	-0.65
88.98	-0.66
89.90	-0.66
89.76	-0.66
91.13	-0.66
90.98	-0.66
91.78	-0.67
92.19	-0.67
92.52	-0.67
93.27	-0.67
93.11	-0.67
94.57	-0.68
94.12	-0.68
95.59	-0.68
95.14	-0.68
96.69	-0.69
96.36	-0.69
97.29	-0.69
97.75	-0.69
97.56	-0.69
99.02	-0.70
98.69	-0.70
99.98	-0.70
99.71	-0.70
100.92	-0.70
100.51	-0.70
102.23	-0.71
101.79	-0.71
102.98	-0.71
102.60	-0.71
104.20	-0.72
103.75	-0.72
105.01	-0.72
104.63	-0.72
106.26	-0.72
105.78	-0.73
107.03	-0.73
106.95	-0.73
107.98	-0.73
107.80	-0.73
108.99	-0.74
108.79	-0.74
109.84	-0.74
109.96	-0.74
110.71	-0.74
110.89	-0.75
111.79	-0.75
111.87	-0.75
112.74	-0.75
112.42	-0.75
114.04	-0.76
113.64	-0.76
115.11	-0.76
114.79	-0.76
115.71	-0.77
116.10	-0.77
116.46	-0.77
117.06	-0.77
117.64	-0.77
117.82	-0.77
118.88	-0.78
118.85	-0.78
119.40	-0.78
120.16	-0.79
120.38	-0.79
121.00	-0.79
121.61	-0.79
121.87	-0.79
122.54	-0.80
